name,board,variant,LED,flash_size
Connaxio's Espoir,connaxio_espoir,connaxio_espoir,N/A,[4MB]
Crabik Slot ESP32-S3,crabik_slot_esp32_s3,crabik_slot_esp32_s3,21,[8MB]
XinaBox CW02,cw02,xinabox,27,[4MB]
CYOBOT V2 ESP32S3,cyobot_v2_esp32s3,cyobot_v2_esp32s3,N/A,[4MB]
Cytron Maker Feather AIoT S3,cytron_maker_feather_aiot_s3,cytron_maker_feather_aiot_s3,2,[8MB]
D-duino-32,d-duino-32,d-duino-32,N/A,[4MB]
WEMOS D1 MINI ESP32,d1_mini32,d1_mini32,2,[4MB]
WEMOS D1 R32,d1_uno32,d1_uno32,2,[4MB]
LOLIN D32,d32,d32,5,[4MB]
LOLIN D32 PRO,d32_pro,d32_pro,5,[4MB]
Deneyap Kart,deneyapkart,deneyapkart,4,[4MB]
Deneyap Kart 1A,deneyapkart1A,deneyapkart1A,N/A,[4MB]
Deneyap Kart 1A v2,deneyapkart1Av2,deneyapkart1Av2,N/A,[4MB]
Deneyap Kart G,deneyapkartg,deneyapkartg,N/A,[4MB]
Deneyap Mini,deneyapmini,deneyapmini,35,[4MB]
Deneyap Mini v2,deneyapminiv2,deneyapminiv2,N/A,[4MB]
Department of Alchemy MiniMain ESP32-S2,department_of_alchemy_minimain_esp32s2,department_of_alchemy_minimain_esp32s2,N/A,[4MB]
DFRobot Beetle ESP32-C3,dfrobot_beetle_esp32c3,dfrobot_beetle_esp32c3,10,[4MB]
DFRobot Beetle ESP32-C6,dfrobot_beetle_esp32c6,dfrobot_beetle_esp32c6,15,[4MB]
DFRobot FireBeetle 2 ESP32-C6,dfrobot_firebeetle2_esp32c6,dfrobot_firebeetle2_esp32c6,15,[4MB]
FireBeetle 2 ESP32-E,dfrobot_firebeetle2_esp32e,dfrobot_firebeetle2_esp32e,2,[4MB]
DFRobot Firebeetle 2 ESP32-S3,dfrobot_firebeetle2_esp32s3,dfrobot_firebeetle2_esp32s3,N/A,[4MB]
