name,board,variant,LED,flash_size
Waveshare ESP32-S3-Touch-LCD-1.69,waveshare_esp32_s3_touch_lcd_169,waveshare_esp32_s3_touch_lcd_169,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-1.85,waveshare_esp32_s3_touch_lcd_185,waveshare_esp32_s3_touch_lcd_185,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-1.85-BOX,waveshare_esp32_s3_touch_lcd_185_box,waveshare_esp32_s3_touch_lcd_185_box,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-2.1,waveshare_esp32_s3_touch_lcd_21,waveshare_esp32_s3_touch_lcd_21,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-2.8,waveshare_esp32_s3_touch_lcd_28,waveshare_esp32_s3_touch_lcd_28,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-4,waveshare_esp32_s3_touch_lcd_4,waveshare_esp32_s3_touch_lcd_4,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-4.3,waveshare_esp32_s3_touch_lcd_43,waveshare_esp32_s3_touch_lcd_43,N/A,[8MB]
Waveshare ESP32-S3-Touch-LCD-4.3B,waveshare_esp32_s3_touch_lcd_43B,waveshare_esp32_s3_touch_lcd_43b,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-5,waveshare_esp32_s3_touch_lcd_5,waveshare_esp32_s3_touch_lcd_5,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-5B,waveshare_esp32_s3_touch_lcd_5B,waveshare_esp32_s3_touch_lcd_5b,N/A,[16MB]
Waveshare ESP32-S3-Touch-LCD-7,waveshare_esp32_s3_touch_lcd_7,waveshare_esp32_s3_touch_lcd_7,N/A,[8MB]
Waveshare ESP32-S3-Zero,waveshare_esp32_s3_zero,waveshare_esp32_s3_zero,N/A,[4MB]
Waveshare ESP32S3 Touch LCD 128,waveshare_esp32s3_touch_lcd_128,waveshare_esp32s3_touch_lcd_128,N/A,[16MB]
WeAct Studio ESP32C3,weact_studio_esp32c3,weact_studio_esp32c3,8,[4MB]
Silicognition wESP32,wesp32,wesp32,N/A,[4MB]
Widora AIR,widora-air,widora-air,25,[16MB]
WiFiduino32,wifiduino32,wifiduino32,2,[4MB]
WiFiduinoV2,wifiduino32c3,wifiduinov2,13,[4MB]
WiFiduino32S3,wifiduino32s3,wifiduino32s3,N/A,[4MB]
WiPy 3.0,wipy3,wipy3,N/A,[8MB]
Waveshare ESP32-S3-Matrix,ws_esp32_s3_matrix,ws_esp32_s3_matrix,N/A,[4MB]
WT32-ETH01 Ethernet Module,wt32-eth01,wt32-eth01,N/A,[4MB]
WT32-SC01 PLUS,wt32-sc01-plus,wt32-sc01-plus,N/A,[16MB]
YelloByte YB-ESP32-S3-AMP (Rev.2),yb_esp32s3_amp_v2,yb_esp32s3_amp_v2,47,[8MB]
YelloByte YB-ESP32-S3-AMP (Rev.3),yb_esp32s3_amp_v3,yb_esp32s3_amp_v3,47,[8MB]
YelloByte YB-ESP32-S3-ETH,yb_esp32s3_eth,yb_esp32s3_eth,47,[4MB]
