name,board,LED,flash_size
AirM2M_CORE_ESP32C3,AirM2M_CORE_ESP32C3,12,[4MB]
Bee Data Logger,Bee_Data_Logger,N/A,[8MB]
Bee Motion,Bee_Motion,N/A,[4MB]
Bee Motion Mini,Bee_Motion_Mini,N/A,[4MB]
Bee Motion S3,Bee_Motion_S3,N/A,[8MB]
Bee S3,Bee_S3,N/A,[8MB]
BharatPi A7672S 4G Module,BharatPi-A7672S-4G,2,[4MB]
BharatPi LoRa Module,BharatPi-LoRa,2,[4MB]
BharatPi Node Wifi Module,BharatPi-Node-Wifi,2,[4MB]
Microduino-CoreESP32,CoreESP32,N/A,[4MB]
ET-Board,ET-Board,5,[4MB]
Edgebox-ESP-100,Edgebox-ESP-100,N/A,[4MB]
Geekble Mini ESP32-C3,Geekble_ESP32C3,10,[4MB]
Geekble nano ESP32-S3,Geekble_Nano_ESP32S3,N/A,[4MB]
INEX OpenKB,OpenKB,16,[4MB]
Pcbcupid GLYPH C3,Pcbcupid_GLYPH_C3,1,[4MB]
Pcbcupid GLYPH C6,Pcbcupid_GLYPH_C6,14,[4MB]
Pcbcupid GLYPH H2,Pcbcupid_GLYPH_H2,0,[4MB]
S.ODI Ultra v1,S_ODI_Ultra,2,[4MB]
VALTRACK_V4_MFW_ESP32_C3,VALTRACK_V4_MFW_ESP32_C3,N/A,[4MB]
VALTRACK_V4_VTS_ESP32_C3,VALTRACK_V4_VTS_ESP32_C3,N/A,[4MB]
WeMos WiFi&Bluetooth Battery,WeMosBat,16,[4MB]
XIAO_ESP32C3,XIAO_ESP32C3,N/A,[4MB]
XIAO_ESP32C6,XIAO_ESP32C6,15,[4MB]
XIAO_ESP32S3,XIAO_ESP32S3,21,[8MB]
XIAO_ESP32S3_PLUS,XIAO_ESP32S3_Plus,21,[8MB]
Adafruit pyCamera S3,adafruit_camera_esp32s3,N/A,[4MB]
Adafruit Feather ESP32 V2,adafruit_feather_esp32_v2,13,[8MB]
Adafruit Feather ESP32-C6,adafruit_feather_esp32c6,15,[4MB]
Adafruit Feather ESP32-S2,adafruit_feather_esp32s2,N/A,[4MB]
Adafruit Feather ESP32-S2 Reverse TFT,adafruit_feather_esp32s2_reversetft,N/A,[4MB]
Adafruit Feather ESP32-S2 TFT,adafruit_feather_esp32s2_tft,N/A,[4MB]
Adafruit Feather ESP32-S3 2MB PSRAM,adafruit_feather_esp32s3,N/A,[4MB]
Adafruit Feather ESP32-S3 No PSRAM,adafruit_feather_esp32s3_nopsram,N/A,[8MB]
